circuit_code,hour,scen,losses
100,15,10,6.796467970750249e-6
100,16,1,6.79645596587351e-6
100,16,2,6.796565617868891e-6
100,16,3,6.79645710015136e-6
100,16,4,6.796456630622837e-6
100,16,5,6.796456256136732e-6
100,16,6,6.7964566250184735e-6
100,16,7,6.796458439166946e-6
100,16,8,6.796480859089113e-6
100,16,9,6.7964447936791705e-6
100,16,10,6.796469983542338e-6
100,17,1,6.796428591195564e-6
100,17,2,6.796450795438867e-6
100,17,3,6.796456570592869e-6
100,17,4,6.796429747268727e-6
100,17,5,6.796451552108677e-6
100,17,6,6.796438577463033e-6
100,17,7,6.79645843648801e-6
100,17,8,6.796473342851348e-6
100,17,9,6.7964447714500605e-6
100,17,10,6.7985603240971006e-6
100,18,1,6.796422405815059e-6
100,18,2,0.0020849650594487717
100,18,3,6.796457174489343e-6
100,18,4,6.796429705765226e-6
100,18,5,6.796451767994328e-6
100,18,6,6.7964393319065085e-6
100,18,7,6.796532050061737e-6
100,18,8,6.79647332559405e-6
100,18,9,6.796438183959351e-6
100,18,10,6.798017243118092e-6
100,19,1,6.796422147148187e-6
100,19,2,0.0020531004958921203
100,19,3,6.7964547670073124e-6
100,19,4,6.796426040662007e-6
100,19,5,6.7964478388904425e-6
100,19,6,6.796439600405868e-6
100,19,7,6.79645901850547e-6
100,19,8,0.0041112568016134455
100,19,9,6.796423870721021e-6
100,19,10,0.0008421522628784932
100,20,1,6.7964071515874276e-6
100,20,2,6.796466176078771e-6
100,20,3,6.796449776348522e-6
100,20,4,6.796424498075901e-6
100,20,5,6.796448850464835e-6
100,20,6,6.796440000481212e-6
100,20,7,6.7964688268902285e-6
100,20,8,6.796394352823862e-6
100,20,9,6.796422199052982e-6
100,20,10,6.798972677000505e-6
100,21,1,6.796434201046436e-6
100,21,2,6.796469765211127e-6
100,21,3,6.796452184499441e-6
100,21,4,6.796427370941597e-6
100,21,5,6.796453382306988e-6
100,21,6,0.0013873039717940113
100,21,7,0.0013433048950153878
100,21,8,6.796396521002998e-6
100,21,9,6.7964215558322355e-6
100,21,10,6.798889965544342e-6
100,22,1,6.796434160952184e-6
100,22,2,6.7964009253825604e-6
100,22,3,6.796452124430455e-6
100,22,4,6.796436669980413e-6
100,22,5,6.79645341790686e-6
100,22,6,0.00140850381081679
100,22,7,0.0013536590904495809
100,22,8,6.796409524369426e-6
